domain	mediabias_leftcenterbias_x	mediabias_leftbias_x	mediabias_rightcenterbias_x	mediabias_rightbias_x	mediabias_leftcenterbias_y	mediabias_leftbias_y	mediabias_rightcenterbias_y	mediabias_rightbias_y
adl.org					1.0	0.0	0.0	0.0
bustle.com					1.0	0.0	0.0	0.0
psmag.com					1.0	0.0	0.0	0.0
c4ads.org					1.0	0.0	0.0	0.0
c4ss.org	0.0	1.0	0.0	0.0				
commonwealmagazine.org					1.0	0.0	0.0	0.0
splinternews.com	0.0	1.0	0.0	0.0				
typemediacenter.org					1.0	0.0	0.0	0.0
ocweekly.com					1.0	0.0	0.0	0.0
affinitymagazine.us					1.0	0.0	0.0	0.0
seattletimes.com					1.0	0.0	0.0	0.0
transequality.org					1.0	0.0	0.0	0.0
cambridgetimes.ca					1.0	0.0	0.0	0.0
democracychronicles.org	0.0	1.0	0.0	0.0				
publico.es					1.0	0.0	0.0	0.0
diversityinc.com					1.0	0.0	0.0	0.0
worldcrunch.com					1.0	0.0	0.0	0.0
this.org	0.0	1.0	0.0	0.0				
Accountable.US	0.0	1.0	0.0	0.0				
glamour.com					1.0	0.0	0.0	0.0
americanprogress.org	0.0	1.0	0.0	0.0				
theweek.co.uk					1.0	0.0	0.0	0.0
newstimes.com					1.0	0.0	0.0	0.0
iowacapitaldispatch.com	0.0	1.0	0.0	0.0				
evonomics.com	0.0	1.0	0.0	0.0				
readersupportednews.org	0.0	1.0	0.0	0.0				
centerforpolitics.org					1.0	0.0	0.0	0.0
occupy.com	0.0	1.0	0.0	0.0				
heavy.com					1.0	0.0	0.0	0.0
tmnews.com					1.0	0.0	0.0	0.0
theday.com					1.0	0.0	0.0	0.0
humanium.org					1.0	0.0	0.0	0.0
refinery29.com	0.0	1.0	0.0	0.0				
taxpolicycenter.org					1.0	0.0	0.0	0.0
towleroad.com	0.0	1.0	0.0	0.0				
norwichbulletin.com					1.0	0.0	0.0	0.0
nytimes.com					1.0	0.0	0.0	0.0
mcdonoughvoice.com					1.0	0.0	0.0	0.0
salon.com	0.0	1.0	0.0	0.0				
dutchreview.com					1.0	0.0	0.0	0.0
vice.com					1.0	0.0	0.0	0.0
infobae.com					1.0	0.0	0.0	0.0
religionnews.com					1.0	0.0	0.0	0.0
enewscourier.com					1.0	0.0	0.0	0.0
theodysseyonline.com					1.0	0.0	0.0	0.0
lohud.com					1.0	0.0	0.0	0.0
colorlines.com	0.0	1.0	0.0	0.0				
leftvoice.org	0.0	1.0	0.0	0.0				
nymag.com	0.0	1.0	0.0	0.0				
mcclatchydc.com					1.0	0.0	0.0	0.0
Censor.NET					1.0	0.0	0.0	0.0
thegrio.com	0.0	1.0	0.0	0.0				
thecut.com	0.0	1.0	0.0	0.0				
cnas.org					1.0	0.0	0.0	0.0
morningbrew.com					1.0	0.0	0.0	0.0
604now.com					1.0	0.0	0.0	0.0
globaltimes.cn					1.0	0.0	0.0	0.0
mississippitoday.org					1.0	0.0	0.0	0.0
gunviolencearchive.org					1.0	0.0	0.0	0.0
juancole.com	0.0	1.0	0.0	0.0				
bellingcat.com					1.0	0.0	0.0	0.0
iowastartingline.com	0.0	1.0	0.0	0.0				
rationalwiki.org					1.0	0.0	0.0	0.0
thedailystar.com					1.0	0.0	0.0	0.0
theatlantic.com					1.0	0.0	0.0	0.0
lawandcrime.com					1.0	0.0	0.0	0.0
Brut.Media	0.0	1.0	0.0	0.0				
berkeleyside.com					1.0	0.0	0.0	0.0
washingtonpress.com	0.0	1.0	0.0	0.0				
washingtonbabylon.com	0.0	1.0	0.0	0.0				
dominionpost.com					1.0	0.0	0.0	0.0
copblock.org	0.0	1.0	0.0	0.0				
newmoderate.com					1.0	0.0	0.0	0.0
birminghammail.co.uk					1.0	0.0	0.0	0.0
theimproper.com	0.0	1.0	0.0	0.0				
newsobserver.com					1.0	0.0	0.0	0.0
sourcepolitics.com	0.0	1.0	0.0	0.0				
libcom.org	0.0	1.0	0.0	0.0				
channel4.com					1.0	0.0	0.0	0.0
nbcnews.com					1.0	0.0	0.0	0.0
aclu.org					1.0	0.0	0.0	0.0
thelocal.no					1.0	0.0	0.0	0.0
bostonreview.net	0.0	1.0	0.0	0.0				
highline.huffingtonpost.com					1.0	0.0	0.0	0.0
swissinfo.ch					1.0	0.0	0.0	0.0
businessinsider.com					1.0	0.0	0.0	0.0
amny.com					1.0	0.0	0.0	0.0
berliner-zeitung.de					1.0	0.0	0.0	0.0
africanarguments.org					1.0	0.0	0.0	0.0
gainesville.com					1.0	0.0	0.0	0.0
insider.com					1.0	0.0	0.0	0.0
thefifthcolumnnews.com	0.0	1.0	0.0	0.0				
NBCWashington.com					1.0	0.0	0.0	0.0
thesaturdaypaper.com.au					1.0	0.0	0.0	0.0
chinapost.nownews.com					1.0	0.0	0.0	0.0
repubblica.it					1.0	0.0	0.0	0.0
kansascity.com					1.0	0.0	0.0	0.0
washingtonmonthly.com					1.0	0.0	0.0	0.0
jacobinmag.com	0.0	1.0	0.0	0.0				
ipolitics.ca					1.0	0.0	0.0	0.0
crooksandliars.com	0.0	1.0	0.0	0.0				
oneindia.com					1.0	0.0	0.0	0.0
bostonglobe.com					1.0	0.0	0.0	0.0
barrietoday.com					1.0	0.0	0.0	0.0
democracy21.org					1.0	0.0	0.0	0.0
rawstory.com	0.0	1.0	0.0	0.0				
mediaite.com	0.0	1.0	0.0	0.0				
gothamist.com					1.0	0.0	0.0	0.0
miamiherald.com					1.0	0.0	0.0	0.0
brookings.edu					1.0	0.0	0.0	0.0
euronews.com					1.0	0.0	0.0	0.0
nakedcapitalism.com					1.0	0.0	0.0	0.0
revcom.us	0.0	1.0	0.0	0.0				
inews.co.uk					1.0	0.0	0.0	0.0
themonthly.com.au	0.0	1.0	0.0	0.0				
fastcompany.com					1.0	0.0	0.0	0.0
harpersbazaar.com	0.0	1.0	0.0	0.0				
albertaviews.ca					1.0	0.0	0.0	0.0
thewire.in					1.0	0.0	0.0	0.0
gravelinstitute.org	0.0	1.0	0.0	0.0				
bluestemprairie.com					1.0	0.0	0.0	0.0
thequint.com					1.0	0.0	0.0	0.0
972mag.com					1.0	0.0	0.0	0.0
wehuntedthemammoth.com	0.0	1.0	0.0	0.0				
undark.org					1.0	0.0	0.0	0.0
bust.com	0.0	1.0	0.0	0.0				
globalcitizen.org					1.0	0.0	0.0	0.0
penncapital-star.com	0.0	1.0	0.0	0.0				
washingtonspectator.org	0.0	1.0	0.0	0.0				
demos.org					1.0	0.0	0.0	0.0
citypaper.com	0.0	1.0	0.0	0.0				
thejakartapost.com					1.0	0.0	0.0	0.0
sanluisobispo.com					1.0	0.0	0.0	0.0
politicalcritique.org					1.0	0.0	0.0	0.0
kentucky.com					1.0	0.0	0.0	0.0
insidehighered.com					1.0	0.0	0.0	0.0
macleans.ca					1.0	0.0	0.0	0.0
sltrib.com					1.0	0.0	0.0	0.0
civilbeat.org					1.0	0.0	0.0	0.0
democratichub.com	0.0	1.0	0.0	0.0				
thesunmagazine.org					1.0	0.0	0.0	0.0
canadiandimension.com	0.0	1.0	0.0	0.0				
crisisgroup.org					1.0	0.0	0.0	0.0
resilience.org	0.0	1.0	0.0	0.0				
marxist.com	0.0	1.0	0.0	0.0				
centerforinquiry.org					1.0	0.0	0.0	0.0
caribbeanlifenews.com					1.0	0.0	0.0	0.0
gizmodo.com	0.0	1.0	0.0	0.0				
jointcenter.org					1.0	0.0	0.0	0.0
tarbell.org					1.0	0.0	0.0	0.0
thestate.com					1.0	0.0	0.0	0.0
dawn.com					1.0	0.0	0.0	0.0
time.com					1.0	0.0	0.0	0.0
eff.org					1.0	0.0	0.0	0.0
thehilltalk.com					1.0	0.0	0.0	0.0
foreignpolicyjournal.com	0.0	1.0	0.0	0.0				
popularresistance.org	0.0	1.0	0.0	0.0				
itep.org					1.0	0.0	0.0	0.0
trofire.com	0.0	1.0	0.0	0.0				
represent.us					1.0	0.0	0.0	0.0
daily49er.com	0.0	1.0	0.0	0.0				
themaven.net	0.0	1.0	0.0	0.0				
thenewstribune.com					1.0	0.0	0.0	0.0
guttmacher.org					1.0	0.0	0.0	0.0
politicsthatwork.com					1.0	0.0	0.0	0.0
factmyth.com					1.0	0.0	0.0	0.0
amnesty.org					1.0	0.0	0.0	0.0
crikey.com.au	0.0	1.0	0.0	0.0				
mauinews.com					1.0	0.0	0.0	0.0
self.com					1.0	0.0	0.0	0.0
texasmonthly.com					1.0	0.0	0.0	0.0
meduza.io	0.0	1.0	0.0	0.0				
economicshelp.org					1.0	0.0	0.0	0.0
americanbridgepac.org	0.0	1.0	0.0	0.0				
thecity.nyc					1.0	0.0	0.0	0.0
justsecurity.org					1.0	0.0	0.0	0.0
brennancenter.org					1.0	0.0	0.0	0.0
sacbee.com					1.0	0.0	0.0	0.0
