domain	mediabias_leftcenterbias_x	mediabias_leftbias_x	mediabias_rightcenterbias_x	mediabias_rightbias_x	mediabias_leftcenterbias_y	mediabias_leftbias_y	mediabias_rightcenterbias_y	mediabias_rightbias_y
cnbc.com					1.0	0.0	0.0	0.0
cheddar.com					1.0	0.0	0.0	0.0
morningstaronline.co.uk	0.0	1.0	0.0	0.0				
Augustachronicle.com					1.0	0.0	0.0	0.0
whowhatwhy.org	0.0	1.0	0.0	0.0				
inquirer.net					1.0	0.0	0.0	0.0
moneytalksnews.com					1.0	0.0	0.0	0.0
helsinkitimes.fi					1.0	0.0	0.0	0.0
coloradosun.com					1.0	0.0	0.0	0.0
resourcegovernance.org					1.0	0.0	0.0	0.0
politicususa.com	0.0	1.0	0.0	0.0				
the-daily.buzz	0.0	1.0	0.0	0.0				
WAMU.org					1.0	0.0	0.0	0.0
freakonomics.com					1.0	0.0	0.0	0.0
baynature.org					1.0	0.0	0.0	0.0
hollywoodreporter.com					1.0	0.0	0.0	0.0
truththeory.com	0.0	1.0	0.0	0.0				
investigaterussia.org					1.0	0.0	0.0	0.0
rooseveltinstitute.org					1.0	0.0	0.0	0.0
Spin.com					1.0	0.0	0.0	0.0
detroit.cbslocal.com					1.0	0.0	0.0	0.0
fusion.net					1.0	0.0	0.0	0.0
alaraby.co.uk					1.0	0.0	0.0	0.0
levernews.com	0.0	1.0	0.0	0.0				
icrw.org					1.0	0.0	0.0	0.0
countercurrents.org	0.0	1.0	0.0	0.0				
ajc.com					1.0	0.0	0.0	0.0
parrysound.com					1.0	0.0	0.0	0.0
euractiv.com					1.0	0.0	0.0	0.0
wonkette.com	0.0	1.0	0.0	0.0				
ejinsight.com					1.0	0.0	0.0	0.0
palmbeachpost.com					1.0	0.0	0.0	0.0
attackthesystem.com	0.0	1.0	0.0	0.0				
theintercept.com					1.0	0.0	0.0	0.0
themoderatevoice.com					1.0	0.0	0.0	0.0
washingtonblade.com					1.0	0.0	0.0	0.0
engadget.com					1.0	0.0	0.0	0.0
greenleft.org.au	0.0	1.0	0.0	0.0				
sciencing.com					1.0	0.0	0.0	0.0
axios.com					1.0	0.0	0.0	0.0
foodandwaterwatch.org	0.0	1.0	0.0	0.0				
texasobserver.org	0.0	1.0	0.0	0.0				
uawire.org					1.0	0.0	0.0	0.0
leftoverrights.com	0.0	1.0	0.0	0.0				
autostraddle.com	0.0	1.0	0.0	0.0				
thelondoneconomic.com	0.0	1.0	0.0	0.0				
universitybusiness.org					1.0	0.0	0.0	0.0
heraldnet.com					1.0	0.0	0.0	0.0
worldpolicy.org					1.0	0.0	0.0	0.0
nrdc.org	0.0	1.0	0.0	0.0				
ibtimes.com					1.0	0.0	0.0	0.0
globalriskinsights.com					1.0	0.0	0.0	0.0
politizoom.com	0.0	1.0	0.0	0.0				
kyivindependent.com					1.0	0.0	0.0	0.0
news.mongabay.com					1.0	0.0	0.0	0.0
sfgate.com					1.0	0.0	0.0	0.0
epi.org					1.0	0.0	0.0	0.0
aol.com					1.0	0.0	0.0	0.0
bramptonguardian.com					1.0	0.0	0.0	0.0
private-eye.co.uk					1.0	0.0	0.0	0.0
chron.com					1.0	0.0	0.0	0.0
thegailygrind.com	0.0	1.0	0.0	0.0				
wallstreetonparade.com	0.0	1.0	0.0	0.0				
dispatch.com					1.0	0.0	0.0	0.0
tampa.cbslocal.com					1.0	0.0	0.0	0.0
out.com	0.0	1.0	0.0	0.0				
rrstar.com					1.0	0.0	0.0	0.0
hotnews.ro					1.0	0.0	0.0	0.0
bblackagendareport.com	0.0	1.0	0.0	0.0				
earth.columbia.edu					1.0	0.0	0.0	0.0
dailyclimate.org					1.0	0.0	0.0	0.0
geopoliticsalert.com	0.0	1.0	0.0	0.0				
pravda.com.ua					1.0	0.0	0.0	0.0
montgomeryadvertiser.com					1.0	0.0	0.0	0.0
nhregister.com					1.0	0.0	0.0	0.0
secondnexus.com	0.0	1.0	0.0	0.0				
feministfrequency.com					1.0	0.0	0.0	0.0
opensocietyfoundations.org	0.0	1.0	0.0	0.0				
chieftain.com					1.0	0.0	0.0	0.0
battlecreekenquirer.com					1.0	0.0	0.0	0.0
hs.fi					1.0	0.0	0.0	0.0
blacklivesmatter.com	0.0	1.0	0.0	0.0				
variety.com					1.0	0.0	0.0	0.0
Puck.News					1.0	0.0	0.0	0.0
